Designator,Footprint,Quantity,Value,LCSC Part #
"BT3, BT4",SMD_MY-ZJ-110,2,MY-ZJ-110,C964859
C1,0805,1,100n,C5120075
"C2, C3",0805,2,4.7n,C1744
"C4, C5, C8",0805,3,1u,C28323
"C6, C7, C9",0805,3,22u,C45783
"D1, D2",0603,2,LED,C965807
F1,1206,1,Polyfuse_Small (1A),C720075
J6,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0_16P,C2765186
L1,IND-SMD_L4.0-W4.0-A,1,XEL4030-102MEC,C5441341
Q1,SOT-523,1,BSS138,C5224244
"R1, R2",0603,2,5k1,C14677
"R10, R9",0603,2,220k,C22961
"R11, R12, R3, R6",0603,4,100k,C14675
R13,0603,1,732k,C246003
"R14, R4",0603,2,10k,C98220
"R5, R8",0603,2,1k,C22548
R7,0603,1,2k,C22975
"SW1, SW2",SW_SPST_B3U-1000P,2,SW_Push,C231329
SW3,Panasonic_EVQPUL_EVQPUC,1,SW_Push,C79174
U1,SOT-666,1,USBLC6-2P6,C15999
U2,SOT-23-5,1,MCP73831-2-OT,C424093
U3,ESP32-C3-MINI-1_EXP,1,ESP32-C3-MINI-1-N4,C2934569
U4,SOT-23-5,1,XC6210B332MR,C47719
U5,SOT-563_L1.6-W1.2-P0.50-LS1.6-BR,1,TPS61023DRLR,C919459
