Designator,Mid X,Mid Y,Rotation,Layer
C1,158.87,-103.01,90.0,top
C6,159.68,-108.32,90.0,top
C7,148.39,-104.82,0.0,top
D1,145.67,-110.75,0.0,top
F1,157.1,-81.15,0.0,top
J6,152.9,-74.58,180.0,top
Q1,168.38,-94.31,0.0,top
R1,156.14,-83.81,0.0,top
R2,150.14,-81.18,180.0,top
R3,162.02,-103.09,270.0,top
R4,169.94,-97.97,180.0,top
R5,145.67,-107.83,0.0,top
SW1,160.57,-98.62,270.0,top
SW2,160.76,-91.74,270.0,top
SW3,156.35,-121.925,180.0,top
U1,152.97,-83.19,270.0,top
U3,147.6349,-93.349999,90.0,top
U5,152.62,-109.94,0.0,top
